,Text,Text Classification
199,not brand new it is not an unopened box plastic wrapping is missing and microfractures on the screen the first package picture was not apple freshly wrapped the box was opened the plastic was ripped off of it and there are microfractures on the screen now the replacement package video has arrived and is also not apple freshly wrapped the plastic seal is nonexistent and the box is opened on one side now i am expected to go without the watch i paid for by returning my first one along with the replacement one then wait for a refund then purchase another one then pray that it is actually new still wrapped in apple is plastic seal then wait for that to arrive still all that equates to massive inconvenience multiplied by the loss of my prime time divided by every dime of mine stuck in limbo simplifies to being filled with hope that just maybe this time i will receive a brand new apple watch as advertised guess i will give the dice another roll maybe third times the charm so fingers crossed folks,screen
200,truly overhyped and started having issues with it not even 3 days into having it spotify stopped syncing and many of the features were not working tried to use it to track my boxing workout and it kept ending work out on its own so it did not measure anything save your money go with fitbit or something cheaper because this is not worth it,screen
201,very good performance and screen quality,screen
202,it is a very nice looking watch that is so easy to use going for a walk run or bike ride it is easy to start recording the event battery life is about the biggest downfall it definitely has to be charged every day,battery
203,absolutely no complaints got the watch it is been amazing can not imagine my routine without it after only about a week could not imagine not having it,screen
204,really easy to set up only issue i have is the battery drains fairly fast i love it so far,battery
205,great watch does everything i need it to do,screen
206,it is a great watch but i sent it back but on refund,screen
207,watch was a gift and she loved it,screen
208,provides the ability to respond to text msgs without taking out my phone,screen
209,the battery only lasts 1 day,battery
210,purchased larger screen for husband who does not see well he has no problem seeing the screen,screen
211,exactly as described,screen
212,i used my apple watch to monitor for heart arrhythmias and blood oxygen saturation levels it works great for this purpose it is just fun that i can check the weather text messages and so much more,screen
213,best watch yet love it,screen
214,i wear it all the time sleep tracker is amazing and the activity rings are accurate,strap
215,there are several glitches in the watch first i do not know why you would monitor you sleep unless you want to take the watch off in the morning to charge it batter life is only a 30hours so it does half way through the day the heath monitoring is constantly glitches it does not count your workouts towards your daily goal unless you recalibrate regularly you only get to monitor you cardiac fitness once even with recalibration to get rid of the unnecessary apple apps on the watch you have to delete them off the iphone recommend waiting for another generation or two,battery
216,i love the watch every thing works on it like it should the only complaint i have is the battery life but it is a fairly quick charge,battery
217,my watch wont charge after the latest update i am using third party chargers that all worked before the update i can not afford dollar30 for the oem chargers because i would need several of them,others
218,purchased this as used from amazon it is in perfect condition no scratches or anything great price for a basically new watch green band purchased separately,strap
219,the wall charger does not come complete,others
220,this is my second apple watch and this is 2 5 months old and three times it has gotten warm and then will not hold a charge for more than a couple of hours i am completely frustrated as it feels like i have no recourse,battery
221,for now i have to give this a 1 star not for the watch itself but because the package i received did not contain the watch it was pre opened and stolen when i received it when i get the replacement i will be be happy to leave a new review,others
222,go to a store it came broken dirty and the band did not even work please please do not buy off amazon they are amazing in other areas but not apple,others
223,i gave this to my son and he loved it it looks great with work attire as well as casual he loves all the features this gift was very well received,others
224,the watch is sleek beautiful very responsive and works wonders when filled with juice but that is the thing battery barely lasts 24 hours ex i charged yesterday at 7 pm did not use for anything else but to watch the time my sleep track if actually off so it is not like the watch is working extra during the night rn is noon and i have 46percent battery and still have 7 hours to go for the full 24 hrs so yeah very disappointed with the battery life my coworker have a series 5 and he told me it lasts 2 days no problem so i am really bummed on this regard,battery
225,good watch for fans of the brand,screen
226,love the neutral band looks dressy and more professional or appropriate for a wedding,others
227,this watch is amazing was a christmas gift from my husbandhe did really good excellent product,others
228,the packaging it was horrible as i opened the watch it fell out the box it was no secured in the box and no band what kind of advertising is that,strap
229,watch is great it replaced my series 5 this is the first time i bought an apple product with applecare on amazon and will probably be the last they never notified apple of my applecare purchase i had to contact apple on the phone and rectify it thankfully apple contacted amazon to resolve it apple rep this is not unusual with amazon amazon should not sell applecare if they can not do it correctly,others
230,the apple watch 7 is nice especially if you are upgrading from a version that is several years old but beware it only comes with a charger that is usb c so if you do not already have a usb power brick or old watch charger you have to buy that and will not be able to charge your watch,screen
231,this is my 2nd apple watch after a watch version 1 i love the larger size and oxygen monitor,screen
232,if the actual watch itself was in there i would have been thrilled but opening the box to see a band and a charger was extremely disappointing after i paid dollar400,strap
233,i love this watch,screen
234,i am so happy with this purchase my apple watch is excellent and i received it after 2 days of placing my order,screen
235,i like everything about this watch accept the battery life is poor,battery
236,it is the best smart watch you can buy although if you do not have an iphone i think you will not enjoy it as much as i do,others
237,for now everything grade 10 the product arrived as promised and in the picture seller grade 10 also the watch arrived before the delivery deadline I'm loving it I recommend everyone to buy,screen
238,too read data from my iphone and the pop up news head lines,screen
239,excellent same product as u buy it in the store or official website but way cheaper,others
240,there is no secret as new smartwatches keep joining the battle it is still apple who keeps winning the race workout tracking steps heart rate ecg blood oxigen unlocking your iphone and mac without face id or passcode apple pay notifications for all apps on your wrist etc it is a very cool gadget to have very useful and very functional to me the only down side is still the battery there are other smartwatches that beat the apple watch big time on battery so it makes you wonder what does apple need to create a watch with a battery that lasts as least a couple of days aside from the battery which to me only represents the hastle of putting the watch on the charger for about an hour the charging is super fast now there is nothing else to complain about i picked the aluminum red one with the standard silicone band and i absolutely love it,battery
241,i love this new apple watch it loses battery super quick though even when i turned off the always on screen at the end of the day it usually ends up on 30percent which isnt that bad but idk,battery
242,love this watchstylish and the new features are wonderful so happy i got it,others
243,does everything that it says and the display is even better than advertised i did not have any iphone watches before the series 7 but i know i can not live without this now i have a health condition and it allows me to give my doctor additional information to help me feel better,screen
244,first time owning a smart watch after reading all the reviews went with the 7 does everything that i wanted and then some have not tried the sleep tracking yet,screen
245,needed some form of contact since i am living alone so i linked my iwatch to my daughter is so she can make sure i am still moving around plus it has a help i have fallen feature all other products need you to push a button for help if you are passed out or dead that is kind of difficult to do,screen
246,wow that was fast 24 hours after purchase had apple watch series 7 on my wrist upon unboxing the watch face displayed low battery i put it on the charger and it was 3 4 charged in less than 15 minutesi had to download and install the latest updates this process took a little longer than i had expected after watching other reviews that questioned the authenticity of their purchase product of course i was a little nervous going into such a large purchase however this is absolutely apple you can feel it and see it in the packaging before you even get to the good stuff i think that it is important to mention that i did purchase the apple care package for dollar79 perhaps that ensures the authenticity of what you were purchasing just a thought i can not wait to start closing those exercise rings and earning those spinning medallions happy apple girl correction in the last clip of the video i said 40 mm obviously it is 45 mm,battery
247,love this thing had been wanting an apple watch for a while and finally made the purchase arrived super quick,screen
248,i have been wanting an apple watch and finally purchased one i was a little leary with the battery life only being 18 hours but it actually lasts for more than 24 hours i fully charge my watch each day because i wear it to bed and it only gets down to about 40percent by the time i charge it again the calling and texting from the watch is awesome if you have been on the fence about getting one then get off it and buy one,battery
249,i considered buying a used apple watch a couple years ago because the current watch at the time did not seem to do much more than the older watches then the 7 was going to come out with always on feature and larger screen which for me was the thing i wanted i am so far loving it the ability to switch between always on faces means it can go from looking like an elegent watch plain artistic face to utilitarian with a swipe the added health features are a bonus although i do not really need them i could see those features being very handy for an older user that is trying to monitor changes to heart rate o2 saturation etc,screen
250,i was super excited to receive the newer version of the apple watch as it was a huge upgrade from my apple 3 when i got it the thin card board box not the shipping box it came in was torn in a couple spots and it was also missing the band it was supposed to come with so i returned super disappointed,strap
251,apple watch series 7 is a great purchase easy to use and sync and has a wide variety of features,screen
252,i switched from a fitbit to an apple watch and i am in love i love that my phone and apps seamlessly pair with the watch and i can get notifications even when i am not attached at the hip to my phone i am still not completely sold on the phone but the watch has sold me on itself it did not come with a charging block just the cord but it seems like that is standard i had one on hand so i was not worried it also did take time to get it connected but i had to update the phone is operating system first overall very impressed so far in spite of the little issues at the start,others
253,it drains battery so easily can not even last a day maybe it is a defective product planning to return it,battery
254,reliable watch full of technology and looks good,screen
255,the quality is in every detail the battery lasts as promised if I use it well during the day I charge it overnight or the next morning very good for notifications and whatsapp calendar calendar until slack they all arrive for running or gym and top to the pool it was also possible to download spotify sounds on it and leave the phone at home,battery
256,i have been using this apple watch for a year and highly recommend it,screen
257,the band is not starlight like the picture shows it is an ugly beige no power adapter for the magnetic charger so i can not even charge it should come with the adapter,strap
258,"the watch arrived within the promised time with invoice and everything as indicated in the ad the product is very good it is very worth it the only negative point I have noticed so far is the battery that lasts a maximum of 2 days but use for exercises and with medication pulse rate, which consumes a lot of battery charge and is super fast so this is not a problem at all, just praise for the product",battery
259,i was disappointed in the color of the band i thought it looked like pearly white,strap
260,i am very happy with my beautiful apple watch easy to handle many functions,screen
261,i have had the other generation of apple watches i only got this one because my gen 5 screen cracked all the heck now i do not feel much difference in the 7 from my 5 beyond the larger screen the 7 feels about the same weight is not much different,screen
262,nice battery life is still short,battery
263,it is certainly bold the red i am going from green pink and now red i so happy i did this is just beautifully made feature rich and quality,others
264,i like all future of this apple watch,others
265,i ordered this watch at least 25 days ago finally got it today and made a surprise to my wife she definitely loves this watch it works very smoothly and also very cute design i am glad i picked right color the starlight color perfectly matched her,others
266,first of all it took me about six hours to get this apple watch to work and a sync with my phone that is number one then i had it maybe three days so i look back in history and i thought i was paying for a new one and i see information from january 2022 that is not right so i am sending it back and i am gonna go to the apple store and get mine,screen
267,the brightness of the screen is the same as series 5 or at least to my eyes the more disappointing feature is the milanese band quality is not same as the series 5 one i have the series 7 band kinks quite often my series 5 band is constructed much better with a smooth jewel like feel,screen
268,i like it i have wanted one for years and bit the bullet works well for tracking workout activity receiving notifications messages changing selecting music without needing to pull out my phone battery lasts around a day and a half you should plan on having to charge it every day i would say problem you literally cannot charge your watch out of the box if you do not have a usbc charging block i own no devices that utilize this i had to shell out more money after spending dollar350 on this watch this is unacceptable i would understand if there was no charging block for a normal usb plug in everyone has one laying around,battery
269,the watch does everything it promises to do the battery goes all day and still has life left when i go to bed even when the outdoor walk is used the heart monitor has come in handy on several occasions all in all it was well worth purchasing,battery
270,It has served me very well I can use many applications and the battery lasts a long time,battery
271,first of all it took forever to set up then i was trying to set up the heart monitor an hour later found out u have to be 22 to use it the band on this watch is useless slips easy this thing is going back and i will stick with my series 5 then i am going to by an android phone so i can be free of apple,strap
272,very dissapointed i took the watch out the box and set it up the battery died and when i put it to charge it never charged so either the battery or the charger not working after i spent so much money on it,battery
273,beautiful watch,screen
274,i almost had the same issue with verizon not supporting this watch the verizon store told me it was not compatible and that it was defective amazon gave me the runaround as well as apple i logged into the apple watch app and was able to activate it there on verizon,others
275,excellent smart watch with blood pressure measure sleek design and quickly sync with the phone i wish it had a longer battery life like they improved the battery of latest iphones however over all 10 10 for performance design and functionality,battery
276,i was debating between and 41 and 44mm watch i am very happy with the 41mm the notifications and awards for moving is incredibly motivating i love that you get to connect and compete with friends keeps you super accountable to get your daily movement and steps in highly recommend for anyone thinking about getting one of these gadgets really fun to play with,screen
277,"arrived with 3 working days from the moment I placed the order, it comes packing with all the accessories that match the description, I bought the 41mm because I looked at the comments before buying and I imagined that the 45mm would be big on my wrist and it fit super well battery lasts about 1 and a half days",battery
278,it took half a day to set up i had to leave it with my iphone within range of wifi and connected to chargers while i downloaded a long series of updates and performed a long series of restarts the battery life is about 18 hours so i need to take it off to charge while i sleep this makes it difficult to use as a sleep monitor and use it as a watch all day the watch is not very useful without being always linked to my iphone now i have to have bluetooth on my iphone always on which sucks battery life also the watch iphone combo made the decision for me that my iphone alerts are now silent and the watch will tap my wrist for alerts after missing a couple appointments i had to disconnect the watch by turning off bluetooth i searched through the hundreds of settings and could not find the one where i gave permission to make decisions about iphone settings without my consents apple does not include power supplies anymore and they switched all there power cords to a new connector so i can not use the 10 old power supplies i have sitting in a drawer seems like a cash grab i guess they are out of ideas for new useful products that would increase sales,battery
279,works great with everything i wanted wish the battery lasted longer worth the buy,battery
280,apple products are excellent the watch is great I was just disappointed with the oximeter that checks blood oxygen levels it practically doesn't work just the error I was disappointed with this functionality because I bought it for this differential,others
281,loud and clear on phone calls and i love the mindfulness and breathing app,screen
282,bought this as a gift for my wife she will not wear it with the existing strap everytime she hits an object with her wrist the strap pops open and she is afraid to use it,strap
283,love the health trackers on this watch,screen
284,love the 41mm screen but iwatch 7 needs charging every time i turn around the band has come loose and fallen off twice thankfully it fell off inside my house i will purchase a different band for sure,screen
285,exquisite watchlove it it is not available anywhere else except amazon and two day deliver,screen
286,arrived well packaged icloud account successfully configured and arrived fast,screen
287,the battery but i live in a world where a charger is nearby d,battery
288,It is multifaceted and helps me a lot with my health,others
289,the battery goes out quickly,battery
290,well it is good to have the watch for the ease to answer texts when phone is in pocket pretty much for what i use it for coming from a garmin 245 love the battery on that watch for sure battery on apple watch is very under performing compared to garmin,battery
291,the watch comes with two bands one is too small the other is too big i lost my watch the first time i wore it not happy,strap
292,a great watch good quality good battery heath 100percent but i think it is a bit expensive for what you can really do with it of course we are paying for the brand that is apple but i think the se would be a very good cheaper option and with practically the same functions,battery
293,my first apple watch,screen
294,this is excellent as watch but health features are great,screen
295,all of the above,others
296,nice one but the battery drains once it is not being charged whether it is worn or not thus it has to be continuously charged 24 7 not a good one,battery
297,this is a great smart watch it is very useful and keeps you updated even your not beside your phone it helps me maintain my daily exercise and health app this is the best smart watch and i recommend it its a bet expensive but it comes into clutch anywhere anytime,screen
298,got this watch at least 6 weeks before apple could ship it product is great,screen
299,i prefer warp type band watch great,strap
300,this watch replaced my iwatch 3 i still use the 3 for dirty work outside my iphone recognizes witch watch i have on automatically i can change the features of either watch on the iphone setting up the new watch took less than 10 minutes,screen
301,i purchased this series 7 iwatch for my wife she found it by accident and is now wearing it daily she is amazed at all its functions and abilities talking to her wrist with her phone in another room is her favorite not cellular all the apps her o2 sat her ekg her connectivity she is thrilled with her gift,screen
302,bought the dollar8 instruction video online which helped a lot still learning all of the tricks but like the watch,others
303,nice watch in stainless steel only wish it came with the xl band i had to get at the apple store,strap
304,i had an older one almost 5 years old and so i knew i would love it with this one i got a bigger screen totally worth it everything about the new one is great if you are thinking about one trust me it is worth it i use it for the workout features and keeping me from sitting too much also to set timers and reminders leave your phone in the other room no problem text from your watch talk on the phone too it is like an 70s kid is now in the jetson is,screen
305,love it it looks great i am upgrading from a series 4 44 mm which i traded back to apple the pulse ox is a nice feature the screen is larger the usb c charges very fast the problem with apple watches is the battery life should last longer i have not tested how long it would last but i would guess 2 days with minimal usage 1 day with daily use,battery
306,100percent genuine apple watch this replaced my series 4 love the green case color highly recommend,screen
307,the watch is in like new condition but it is locked by another apple user and will take up to 30 days for apple to reset the password if possible i have tried contacting the company and can speak to no one there so i am returning it,others
308,i had a series 3 that i had for a few years now i decided to upgrade to the latest and greatest i was not sure which size but i decided i like bigger and hoped it would not look too big on my little wrist it does not i love this watch it works perfect i wish the battery lasted a bit longer but i guess with all its doing it is not bad i get about a day and half from the battery,battery
309,the watch was pretty much what i have come to expect with apple the only downside is the battery life my wife has to charge it daily and she is not running any of the apps,battery
310,disappointed in the battery life my samsung would last 4 days this one two at best,battery
311,spend dollar499 and you do not get a usb charging power block the manual is too small to read for old eyes and lacking complete setup directions,others
312,my old watch broke i upgraded from a series 3 to the 7 and dang the difference is incredible the screen is amazing and the new app selections are really cool it only took a few minutes to get it all set up so it was super simple,screen
313,not sure why there was no protective plastic film like apple normally uses looks like it was opened before and later resealed with stickers on the edges neatly nothing is wrong with my watch that i received thus far but it would be nice to have some clarification on why mines was not fully sealed also i did not realize that apple does not include the whole charger set for this watch i had to order one separately and it took two days through amazon to arrive so if you plan on using this right away i would get the charger first,others
314,very light resistant and with a great battery with fast charging the best smartwatch I know,battery
315,i bought new one and band is not fitting the watch,strap
316,watch is great it does take a little bit to learn but it does work as advertised watch does have a lower battery life but think that it has more to do with the charger then it does the watch,battery
317,i wish i could have bought it for me i purchased a series 6 apple watch for me earlier this year and this one i bought for my best friend it looks similar to series 6 but the added features are really great in series 7 larger full screen with a better battery life is really awesome and i got it in a pretty good deal the price is similar to that of series 6,screen
318,apple once again demonstrates their total disdain for the consumer after waiting for the watch to finally arrive surprise apple does not send the watch with a power block to allow you to charge the thing but wait you can purchase one from apple for additional cost and then wait for that item to arrive i am one customer waiting for the karma bus to roll all over apple,others
319,i had an old apple watch second gen i also had the amazfit smart watch finally decided to upgrade my apple watch to the 7 series the display is clear and has more options it is lighter than the older model and i love the multiple face options i can have one for work one for the gym,screen
320,my wife was a bit tepid on putting on her new iwatch 7 but now she loves it,screen
321,it is pure bs that you can spend almost dollar500 for a watch and it does not come with an accessory needed to charge it not even a heads up from amazon that you need to buy it i may send it back,others
322,really enjoying this watch it does everything i wanted and more,screen
323,this is my second purchase of an apple watch i previously had series 4 mistakenly run over it with a lawnmower i love all the features and convenience of the cellular series never really used the sleep tracking because i dislike sleeping with a watch on sort of expensive however it is worth the price for me excellent buy thanks,others
324,the item works fine lots of great features for sure however there were a couple of issues that make this product over priced the first disappointment was that it only comes with half a charger luckily my wife already had a charger the next was that this thing really only has a days worth of battery life i have to take it off so often and forget to put it back on i bought this thing to monitor health which it does very well however i have to take it off to charge every single night which means heart health is not tracked at night for 500 plus dollars this product should come with a charger come on and it should have a better battery going to return it if i can,battery
325,great watch thanks,screen
326,battery is not as should be my other one could last 2 days this one lasts 1 but ok i charge every night anyways sometimes it zooms them self or the touchscreen does not work but most of the time is fine,battery
327,my wife is in the healthcare business and holding her phone is a no no on the floor and therefore having an iwatch is perfect in her case she loves the quality functionality and me need i say more thanks apple for making me look good,screen
328,the ios is horrible frustrating and counter intuitive want a stopwatch not on this device oh it has a stopwatch that is useless garbage after one minute the only thing it displays is 1 what genius thought of this it is not saving battery the display is still on you can raise your wrist and the numbers appear but if i have a heavy dumbbell in my hand or i am stabilizing it in my lap i can not move my wrist just have the flipping numbers on screen ffs do you want to know what minute you are on after 70 seconds tough sh the screen switches to the time so now you are forced to bring up your wrist and yes i have looked up and changed every setting possible nothing i do prevents this well why do not you download a third part app hey let is try that that was a massive headache itself and after i finally did download a third party stopwatch app that showed all of the numbers the amazing intuitive apple ios darkens and reverts to the time un flipping believable want to turn that setting off tough sh mr customer you can only look at the app for 70 seconds so screw your three minute timer peasant what you need to do is toggle the hide sensitive complications options on or off guess what that does not work not after 70 seconds while i am talking about the display sometimes an app view screen shows up randomly and i literally can not do anything to get out of it the only option i have is to turn it off and back on again that is extremely frustrating also they need to figure out which direction the scroll when is used for one screen the scroll wheel moves the screen in the direction you push the wheel up is up and down is down but when you go to move the cursor to edit text down on the wheel moves the cursor up why why would they do this well we are on the subject of text the talk to text on this watch is atrocious i can say the exact same thing on my iphone and it works great the watch simply does a turd job at understanding talk to text when i do scroll down to go up and select a word to change it to something that i actually said instead of what it wrote the options simply are not there ever also when i am on the workout app tracking my heart rate and i switch to a stopwatch app to track my time in between sets i looked down at my watch to check the time and it switched back to the workout app that is so extremely frustrating when i switch to another app i want to look at that flipping app i do not want you to change to the time i do not want you to change apps regardless of what you think i want to see it is little stuff like this that makes me want to ask will it blend sometimes i think putting it down the garbage disposal or in a vitamix would make me much happier due to the frustration i have with the ios what stops me from doing that the hardware the hardware is really amazing i love the way it feels in my wrist i love the heart rate monitor which never drops my heart rate unlike every fitbit or mio watch i have had the screen is fantastic the haptics are really nice and not overbearing for the amount that this thing cost the fact that the software is so crippling there is no way i can recommend someone purchase this until they get the ios fixed,screen
329,good product but the battery ending fast,battery
330,got it for the wife fir xmas like most apple products it is way over priced for what it is,strap
331,this is a major upgrade coming from apple watch 3 great battery life super fast processor and excellent health monitoring,battery
332,graphite stainless steel case with graphite milan really nice looking i love it,others
333,I've been an apple watch user for a long time and I've never had any complaints about making an excellent product,screen
334,excellent arrived super fast and the product was new,others
335,battery last for about a day as opposed to the fitbit iconic which lasts for 3 days,battery
336,every feature of this watch is spot on purchased for emergency sos and for gps location should i fall or otherwise need help i love the gold stainless case and the ability to have a cellular connectivity as well as pair with my iphone i have had another apple watch aluminum case and liked it very much but wanted a gold stainless case thus the reason for buying this one re sos feature i fell recently and the watch was faster at responding than my fall alert button for which i pay a monthly fee the reason i gave the watch a 4 star review is because i thought i was purchasing a new watch but in fact when it came and i placed it on the charger it became very hot and i realized the battery must be bad so i investigated further and found out it was a refurbished watch good condition am giving a 4 star review only because i am returning the watch due to battery heating up when on charge i will purchase another apple watch new this time,battery
337,great battery life and charges fast,battery
338,best apple watch ever love it,screen
339,got this to check my o2 levels and my afib and so my son knows when i fall since my balance is like a one year old is like that it connects with my phone and i can bluetooth music without exposing the phone to my cleaning or planting do not like that the apps are geared towards young athletic types we need the activity meter to have a rehab calibration and one for senior seniors over 70 completely different needs and abilities the huge boomer population is getting on and the medical aspects of this watch are helpful but there needs to be a bit more development geared towards differently abled half the icons are so small i can not tell what they are the list layout is heaven sent wish i could design my own icons because even the ones i can see are not intuitive i like the starlight color and the bigger size the warm brushed beige is flattering to aging complexions need a couple pastels or soft hues to balance the harsh dark primary colors cornflower cocoa turquoise and such still learning how to navigate the watch with my big arthritic fingers apple should design a fingertip stylus that attaches securely to the band waiting to be slipped on,screen
340,because it's practically a cell phone on your arm I thought the battery lasts a lot I use it all day and I still sleep with it original came packaged with invoice arrived 4 days before the deadline and I'm in love,battery
341,along with the watch itself they give you the charging cable but no adapter to plug it into so you are given the watch and no way to charge it and it is not a usb plug it is something completely specific to the series 7 maybe this is something you need to include instead of forcing me to buy something separately to keep the damn thing functioning now i have to wait for the adapter so if it dies until then oh well that is completely ridiculous,others
342,I already had an applewatch and I decided to exchange it for this more current model for me the product is great I would like to congratulate the seller and his service we had a little unforeseen with the carrier however this was quickly resolved by the seller who was attentive and I felt safe with the purchase at all times the delivery was super fast I recommend and I will definitely buy from this store again,others
343,the main thing is band needs to be much smaller even the smallest size is too big,strap
344,items went missing and very disappointed with this,others
345,absolutely love this watch,screen
346,the watch is great the band keeps opening not a very good latch system for this price watch,strap
347,bought as a gift love it is features and style,others
348,the new series 7 allows bigger fonts to fit within the watch face makes everything easier to see,screen
349,battery only lasts for about 22hrs and unable to track sleep which my mickey mouse watch did,battery
350,the product is original comes with invoice and very well packed in addition the seller is super reliable and the delivery is fast and tracked the watch is beautiful the screen is bigger than the previous models I loved the new color and the battery lasts a long time as long as you disable the display mode always active it's worth remembering that the charger wire that charges much faster now is with the usb c so if you don't have the adapter provide one I'm satisfied with the purchase,screen
351,my first apple watch and i am loving it new updates new faces it is really cool the apple community is really strong it is not cheap but if you use klarna or something it is literally 100 every other week enjoy,screen
352,so let me get this straight i spend dollar1000 on two brand new apple watches as gifts to only get them in and find out we have zero way to charge them  big big fail apple unbelievable,others
353,went from series 3 to series 7 love everything about it,screen
354,watch holds battery for a day and a half with constant use and is easy to set up,battery
355,glitchy temperamental slow especially with audible appcan not imagine where all these positive reviews came fromthe store was full of folks with similar challengesavoid,others
356,the product arrived quicker than anticipated very easy to set up and the product quality lives up to the apple standards of excellence i am very please with this and feel it is a good investment in a watch,others
357,my nearest best buy did not have it in stock i would have to wait a week for it to arrive and amazon had it delivered within a day i am super impressed as for the watch it is a good upgrade from my series 5 i went with the bigger screen size as well and i am in love with it,screen
358,everything was perfect but apple man i forgot they never bring in power adapters with their products just a quick little reminder most if not all apple products including this will not bring a power adapter and you have to buy one yourself,others
359,your iphone needs to be updated to at least ios 15 in order to pair it up with the series 7 apple watch,screen
360,battery life is great and i love the cellular feature,battery
361,the watch arrived with a dead battery after a three hour charge using a usb c charger which i had also purchased the watch remained charged for less than 15 minutes it is charging now overnight but surely a brand new watch battery is supposed to be a little charged then recharge easily after 4 days it now recharges fine the ecg app is extremely poor and blood oxgen is very slow compared to pulse oximeter i bought for these features apple does say not for medical purposes i am not a fitness freak i am learning to use features that require purchase of additional software that helps me pay attention to your purposes for buying this watch i hated it but have learned to use certain additional software to my benefit and am having no more battery problems so i am now pleased,battery
362,everything it is good but the charger it is bad now i need to use the charger of my iwarch3 for my new i watch 7 i am disappointed,others
363,i would have chosen another color but this was available the sports band feels like skin and is extremely comfortable i got the watch to track my health readings during sleep my cpap was under fda recall not to use so i was monitoring my o2 level sleeping without cpap o2 levels were dangerously low so i got another cpap and they came up to normal levels the watch clearly showed this the watch has so many more features that i may sometime use i recommend the series 7 watch,strap
364,works great and i love all the features battery life could be better i still have to charge every day and it is also heavier than i would prefer,battery
365,i got this as a gift from my wife for my birthday and i love it i had an apple watch series 2 that stopped working a bit over a year ago my wife got me this to replace it the jump from series 2 to 7 was dramatic i did research to find out exactly what was different and i was disappointed to find out that it still had an 18 hour battery life however through my experience it can last closer to 30 hours per charge but i do only use it as a watch and occasionally a timer so i imagine that having an influence on battery life it also was fully connected and updated within an hour and came with about 80 percent battery life the only downside is that it does not come with a charging brick however this is standard for apple as they stopped including bricks years ago you still get the cable though all in all i love it and i love the deep red color that this watch is,battery
366,battery does not last a full 24 hours so this interrupts my day,battery
367,the product came in immaculate condition and arrived 2 weeks earlier than expected on the watch itself it is very practical and helps me a lot to control health issues such as the daily rings where you set a goal of hours standing exercise and burning of calories and when you complete these 3 goals you get some prizes and that motivates me a lot it also comes with 3 free months of the fitness apple exercise app the apple watch 7 home screens in my opinion are wonderful also the battery doesn't last so long usually lasts 1 and a half day for me but the recharge is absurdly fast you can go from 5percent to 90percent in 30 minutes a negative side is that it comes without the charger source which is different from the normal source but it is not very difficult to find on the internet at Overall the product is worth it for the functionality and practicality in addition to the apple system integration that is simply wonderful,battery
368,gave my daughter for christmas battery life is great and the watch is very accurate my daughter loves it,battery
369,liked the display and health apps,screen
370,100percent original product recommended,screen
371,nice watch works great with my iphone 12 pro abyss blue is deep blue great new color much larger display then my apple watch 3 too many features to list watch face looks much better then the uploaded photos,screen
372,not the color i ordered there is no charging block with watch the end is different it does not take regular charging block still have not found right block with a end to charge watch so i can not set it up to even see if i like,others
373,love the color and it is user friendly but you must down load manuel for better understanding of its operations if your a first time user it explains the operation in detail being 70 appreciate the fall feature heart rate and oxygen saturation rate app also has a ekg app to verify if you are in atrial fabulation,screen
374,looking thru all the reviews and most of the negative ones are about battery life not satisfactory i have tested my apple watch series 7 with not having the always on display and found that if i turn that setting off i only burn 25 30percent battery in a full work day 10 hrs i do not know about you but if i am not looking at my watch why would i need the display on when you turn always on display feature off watch display comes on only when you look at it immediately and that is perfect for me just go to display and brightness on your phone in the apple watch app and turn off always on think about if your phone had a setting where it was always onit would be dead in no time and everyone would be complaining the battery does not last,battery
375,i have upgraded from watch 4 to 7 so for me i see lot of changes and i really like it some one upgrading it from 6 to 7 i do not think it would be a great upgrade,screen
376,the apple watch series 7 is very fast functional and beautiful the purchase came on time with all items as described in the ad,screen
377,the battery life needs to be upgraded it does not last as long as the series 3 other than that it is a great watch,battery
378,the watch is great but i remember when you did not have to change a battery for months this watch needs to be charged every day,battery
379,my apple watch does everything i want it to and more sleek and stylish with lots of helpful apps,screen
380,i love it i have owned several other brands and apple blows them out of the water i will never go back remember you get what you pay for,others
381,this is my first piece of wearable tech i chose the apple watch because i am an iphone user and have faith in apple products due to their simplicity aesthetics cutting edge technology durability product support and overall value so far this watch has lived up to all my expectations in terms of feature benefits my main interest are the heart health functions including the mindfulness breath app the fall detection also seems like good insurance it will automatically contact 911 in the event of a hard fall beyond that the watch itself is beautiful as a watch and very convenient from a communication perspective amazon is pricing and delivery were great i am very satisfied,others
382,the best smart watch that exists the frames I loved they noticed and in color I recommend it also the shipment was super fast,others
383,my first apple watchit is perfect color fits good and it monitors my health,screen
384,okay if you like strapping a phone on your wrist,strap
385,this is my first apple watch and just love it the pairing to my iphone only took a few minutes the robust battery last a full 18 hours if you do not have a cellular plan for your new watch it can only be connected to wi fi apple only ship the charging cable the charger brick is not included and must purchase separately,battery
386,fast processor bog screen beautiful watch,screen
387,beautiful watch super easy set up brand new wish i would have purchased it sooner,screen
388,watch is perfect fast stylish and long battery life however it does not give u a charging brick so i have no way to charge it,battery
389,still need to buy additional equipment to function,others
390,I loved everything the color of it in person and even more beautiful perfect the battery lasts well for an apple watch in the exercises it works well I loved it everything came well packaged and just right,battery
391,very nice looking watch easy to pair and love all the apps,screen
392,great watch does everything,screen
393,just great meets my expectations good battery life,battery
394,chargeer is not working,battery
395,the battery life is unacceptable for the price of this watch,battery
396,all the features from the apple watch 6 with a bigger display battery life could be better in general work flawless without any problems,battery
