"id","profileName","text","date","title","rating","images","helpful","Style","Size","Color"
"R3HJPBLZVW20UH","Cynthia Rusak","
  Charger didn’t work. Apple needed to back erase the contents from the watch to be able to send me a new charger and it took several conversations with Amazon to get it resolved. Each time was a different answer. One told me they could do nothing unless I wanted to return the entire purchase for a replacement. I was finally offered a credit to be able to purchase a new charger. I would have been better of going to my mobile provider to get the watch and the support that took a week to resolve here.
","Reviewed in the United States on December 31, 2021","Charger didn’t work.",1,"","6","GPS + Cellular","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R2A0C1M5FDI3HR","Ronna M.","
  The watch is very pretty, but finding out how to find different settings is confusingI went to the Apple store and they upgraded my phone and the watch but wouldn’t give me any tech help. They claimed they don’t do that anymore
","Reviewed in the United States on November 9, 2021","Complicated",3,"","11","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R3SMBOSWYPPN7J","D. Zimmer","
  I’ve owned an Apple Watch since the 2. I had the 4 and loved it. The 7 is equally as great and is faster, bigger, with always on and blood oxygen detection. The stainless steel feels more substantial and looks better but the aluminum is great too. I haven’t owned a titanium or ceramic version. All my bands work with this bigger size.
","Reviewed in the United States on November 5, 2021","Still great only bigger and faster",5,"","8","GPS + Cellular","45mm","Silver Stainless Steel Case w Starlight Sport Band"
"R3IW1V778IJ3PU","Angela M.","
  I purchased two of these watches from Amazon.  The first one did not have more than a couple hours of battery life, would get really hot while on the charger, and sometimes would take over a day to charge if it would even charge at all.  I exchanged the first watch for a second one that was the exact same model in the exact same color.  After spending over 11 hours and 3 trips to the VERIZON store, it was discovered that the second watch was not compatible with VERIZON cellular service. VERIZON was not able to get the watch to connect to their service and the store manager deemed the watch defective.  I returned watch to Amazon within 30 day purchase period and was charged an $88 restocking fee!  BUYER BEWARE on this watch and of the HIDDEN RESTOCKING FEE...
","Reviewed in the United States on February 19, 2022","NOT COMPATIBLE with VERIZON CELLULAR plan; spent 11 hours and 3 trips to Verizon store",1,"","3","GPS + Cellular","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R1OQGBNP8FBRAU","Amazon Customer","
  I got the watch because it has a feature where, if you fall and are nonresponsive, it calls 911 and gives your GPS location.  You don't need to activate it to call.  If you are awake after the fall, and don't want to call 911, you tell the watch not to do so. Since I am 70 years old and live alone on a remote farm, that seemed worth the price.  But, it also tracks my activities, brings up text messages, and I can answer the phone when someone calls, without having to drag my phone out of my pocket or backpack.  Wonderful.  Also takes rhythm strip (""EKG""), gives you blood oxygen saturation, and other things that allow a quick checkup if you are feeling puny.  This watch is indispensable.  Oh, and by the way, it is actually pretty.  People have seen it and complimented me on my beautiful watch.  And then I tell them.....
","Reviewed in the United States on March 10, 2022","This watch is indispensable",5,"","2","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R11M532OZ3TJ8","Mirage","
  The series 7 works best with your APPLE iPhone.  What?  You don't have one of those?You are going to be inconveniencedTalk to your cellular carrier first about service.Perhaps you have a friend that might lend you their iphone so you can activate your watch.Then you'll be on the FAMILY plan.  The iphone will have the controlling iphone app.Apple suggests this option for kids and seniors.  WHAT?  How humiliating.  Do your research!If the owner of the borrowed iPhone adds you as a FAMILY  member,  remember to pay your monthly phone bill.  And the fun never ends........Apple Does not include a charger.  There is a charging cable..  Apple or Amazon will gladly sell you one for $29 plus tax.  Their reasoning?  You don't need it because surely you have one already and they don't want too much ""e-waste.""  I ahve many chagers, but not one is a 20 watt rapid charger that works best.  My 9w charger seems useless.I'm not sure I need these nuisances.
","Reviewed in the United States on February 6, 2022","What Apple doesn't tell you about cellular service Why you need to buy a charger.",5,"","3","GPS + Cellular","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R2NYM5ZGWQG6UN","D. B. Smith","
  I upgraded from a Series 4 Apple Watch. I like the ""always on"" display and the added blood oxygen measurement. Other than that it doesn't do much of anything that the older watch doesn't do. But IMO it's enough to justify the upgrade.FWIW, the slightly larger display isn't at all obvious. Is it a little bigger? Yes. But if I wasn't told beforehand I'd never have noticed!
","Reviewed in the United States on November 13, 2021","Good upgrade from Series 4",5,"","11","GPS + Cellular","45mm","Graphite Stainless Steel w Graphite Milanese Loop"
"RSGHXKFRXY0J2","Tom","
  I wish I was able to use my new Apple Watch but I have no way of charging it because this terrible company sells this watch with an inaccessible charging cable. If you don't have a brand new high end computer with usb-c then you are out of luck. Want to plug your charger into the wall? Too bad, not with this watch. It is completely and utterly unacceptable to sell a product that only the elite few are able to charge. Yes I now see after the fact that it lists it as having usb c but even so, it is ridiculous they provide no way to adapt this into a regular usb or other device that you can plug into the wall. I wish I could give zero stars. This is deceptive marketing and somebody should start a class action suit against them.
","Reviewed in the United States on March 6, 2022","Wasn’t able to use it. No way to charge.",1,"","3","GPS","41mm","Green Aluminum Case with Clover Sport Band"
"RCS7QEDDFCBX","Stpete28","
  I just upgraded from a S3, and to be honest I have a hard time finding the improvements. The screen, because of the rolled edges and the way text kind of rolls off the side, looks strange and gives the impression your using a 3rd party app that wasn’t designed for your system. But you’re not, it’s Apple. The ECG system is honestly the only reason I bought the watch and love that feature. If you don’t need the ECG, stay with the SE or S6 as that one does not utilize the rolled edges.
","Reviewed in the United States on January 14, 2022","It’s ok …",4,"","6","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"RONVTETF4QOIF","Bakermaniac","
  Great product, am very happy with purchase. Took me awhile to figure out getting notifications to work. Don't know if I messed up the settings so I reset watch and now works great. Only thing I don't like is needing to charge daily. I had a cheap smart watch and it would take 2-3 weeks until it needed to be charged although the cheap smart watch couldn't be used to answer phone or reply to messages. All in all, I am very happy with product.
","Reviewed in the United States on February 4, 2022","Love it!",5,"","3","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R34F9EYSNF0FHE","Amazon Customer","
  I mainly wanted to use this as a tracker for runs and swimming.  It tracks runs or walks fine but no better than my fit bit charger 2.  I really wanted to use it for swimming laps.  I have used it twice.  Set it for 25 yard lap. I have a manual way that I count my laps which I continued to use. I did 46 laps the Watch showed 38.  This would also make all the other data, heart rate etc less valuable.  Very very disappointing. If swimming is important part of why you wanted this watch right now I would say do not buy it.  It does not work well at all
","Reviewed in the United States on January 13, 2022","Useless for swimming laps",3,"","8","GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"RNA1OEL7AQTJU","Gentleman Jim","
  The watch has been an interesting investment.  I bought it for several reasons.  I liked the ECG function since I do have a genetic heart valve problem.  The ability to get my heart rate by locking into the gym's treadmill is a great feature.  The one feature that I wanted that the watch does not have is sleep monitoring.  I wanted to know how long I actually slept and how deeply.  The watch either does not have that feature or I have not found it yet.  Not using that feature does allow me to charge the watch overnight.  And, what the heck is it with Apple that they sell you an overpriced watch and then are too cheap to supply a charger.  Get real!
","Reviewed in the United States on January 7, 2022","Could be better",4,"","5","GPS","45mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R1SFSMNYJC50PJ","texascutie","
  My 14yr old got his first iPhone for Christmas. I wanted to get him an older Apple Watch (I had the series 4 & was just going to get him that) but they are still so expensive! Spent two days looking online and couldn’t justify it. Came across this one on Amazon and noticed the green one was 338 bucks; sixty bucks cheaper than all the other ones. So I snatched it up for myself and gave my son my series 4 with this green band on it. So far I’m not really noticing much of a difference, and I can’t seem to get the same watch face complication that I had before; that bums me out. The battery life seems to be a slight improvement from my series 4, but there’s still no way to wear it all day and track your sleep too. I charge it overnight. I’m still not sure it was with the upgrade at this point, but I love all the functionality of it. I get Ring doorbell notifications pushed to my watch, Life360, and I love being able to answer calls without pulling out my phone. I’ll be an Apple Watch wearer for life (this my third one).
","Reviewed in the United States on January 23, 2022","Good deal on the green one",4,"","2","GPS","41mm","Green Aluminum Case with Clover Sport Band"
"R3BI8H6DV85SHK","Carlos","
  Alright, I won’t say the Apple Watch is the best watch in the world because I know not everyone will agree with me but gosh is it really useful. Although this stainless steel version is on the pricier side, it sure is durable with the sapphire glass that’s resistant to scratches and the stainless steel chassis case, more durable than the aluminum version at least. If you’re like me and try to take advantage of all the Apple Watch features, it’s a great buy. If you’re someone who uses smart watches more casually such as for time, messages, notifications, etc. then I would reconsider and maybe think about getting a different smart watch unless you’re willing to learn all the features that are available on it.
","Reviewed in the United States on December 15, 2021","Not all smart watches are made the same",5,"","8","GPS + Cellular","45mm","Graphite Stainless Steel w Graphite Milanese Loop"
"R2B8S0FTW9FOEQ","Ali Jernigan","
  My pops bought my this for Christmas and I’ve had severe bronchitis. I had no idea this watch could measure you blood oxygen levels. Helped me determine when I needed to go to the ER.Plus it’s gorgeous! Starlight 41m to fit my small wrist.:)
","Reviewed in the United States on January 8, 2022","Love my first watch! Helped with my health immediately",5,"https://m.media-amazon.com/images/I/61hn0tS2UZL.jpg","4","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R262SKNSTTX3RB","megan hoosier","
  I have been using the watch for almost a week. The charge only lasts around 18 hours. It does charge in about 45 minutes but definitely doesn’t stay charged as long as the Fitbit.  The ekg works great, and I feel the 02 sensor is pretty accurate.  Make sure to order the C charging plug if you don’t already have one or you won’t have anything to plug the charging cord to and your watch will die while you’re waiting.
","Reviewed in the United States on November 24, 2021","Order a C charger block",5,"","5","GPS","41mm","Green Aluminum Case with Clover Sport Band"
"R2DL591NJBAV0E","AUbrey","
   I bought the green one because it was crazy how discounted it was because of it being green the actual watch part is barely green it looks black you can’t even tell unless you look super closely in bright light!
","Reviewed in the United States on January 5, 2022","This watch is amazing and the price point is insane",5,"https://m.media-amazon.com/images/I/51p3mKlmXIL.jpg","5","GPS","41mm","Green Aluminum Case with Clover Sport Band"
"R2S81YC26UR5D2","CF","
  Very pricey but Christmas gift to self. The sound quality is very nice. Huge improvement! I have first watch apple put out,  like new but software went caput. Decided rather that go for repair I’d purchase the updated version. Only fixable kink was had to update my 12 pro phone to most currant software 15.0. Im very pleased. Make a great gift! order a face shield to protect face.
","Reviewed in the United States on November 9, 2021","Great improvement! Love…",5,"","8",,,
"R18H8UOA9UNN7T","Mpg","
  I bought this primarily to call for help in case I fall. I have not tried this feature.UPDATE: I accidentally call 911 while putting on a stainless steel band. The response was immediate, was able to talk on the watch, I explained what happened, operator ask my telephone provider I assume to to verify I was lucid. PERFECT.At first blush this seems to be a nice device full of nice features.The documentation is non existent, you will spend hours researching. There is no connectivity to an iPad only an iPhone. While it does come with a magnetic charging cable, there is no charging brick and the cable end does not plug into a lightning port which means you will have to buy a charger specifically for this device.Once you figure out the different nuances you will probably like the watch.
","Reviewed in the United States on January 12, 2022","Old guy, new device",4,"","2","GPS","41mm","Green Aluminum Case with Clover Sport Band"
"R2S9K3FM1P4GXI","Alejandro","
  I live in Alaska so getting things shipped/mailed here is usually a process that takes more than 5 days. I ordered this watch on Saturday February 19, 2022 and it was delivered today February 21, 2022! Not only did the seller have this to me quickly, the shipping packaging was great and the watch came in the original, and unopened packaging. The watch is beautiful and works as expected. I highly recommend this product and seller if you are thinking about getting an iWatch. I bought the Artic Blue in 45mm.
","Reviewed in the United States on February 21, 2022","Happy Customer",5,"","2","GPS","45mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R11OIT9K5O929Q","NineTeen60","
  I liked the watch however Amazon dropped the price $42 less than 5 days after I got it from them. Amazon refused to refund the price difference so I returned it.Battery life was awful even when I removed numerous apps from it and turned off numerous notifications.The watch itself? I also decided I didn’t need that big of an electronic nanny measuring how long I washed my hands, when I needed to take deep breaths, etc so I decided to not buy it at all.Simply not for me.
","Reviewed in the United States on February 17, 2022","Don’t buy it from this site",1,"","2","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R3RTZ59U101CH2","Valerie Doyle","
  The box came with no watch face. My son who is an autistic adult bought this with his hard earned money and was really upset. I returned the item to Amazon the same day on 12/27 and still waiting for a status on his refund.Box came without watch only band and charger for over $400.This will get resolved and going forward I’ll just keep going to Costco or Best Buy for purchases like this.
","Reviewed in the United States on January 4, 2022","Half star",1,"","4","GPS","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R177MXQ9NQBNMF","SAHI","
  Received a defective Watch whose display won’t turn on even after 2hrs of charging it! First Amazon delivers it late. Second it doesn’t turn on. Third the Amazon app does not have a “replacement” option. Only return. How will I get this Watch back on thanksgiving deal that I purchased it on?! Very bad experience with Amazon!
","Reviewed in the United States on November 30, 2021","Received a defective Watch whose display won’t turn on even after 2hrs of charging it!",1,"","8","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R8BYHQJ5XW2S1","Pappy","
  We had dinner with a doctor friend and his wife. I saw his Apple watch and asked him about it. He explained the features and I was sold. I was just diagnosed with a-fib and this does heart rate, blood-oxygen levels and an ECG. Amazon had a good price AND all of the accessories that made it easy to wear and use. I bought a velcro band, protective cover, 3 cables, battery backup, etc. It even has a walkie talkie. Who knew? Don't let my wife know, but I am going to buy one for her.
","Reviewed in the United States on February 10, 2022","Like wearing a doctor on your wrist",5,"","2","GPS + Cellular","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R15XIV9ESQ5PBI","happy","
  Christmas present made wifes day, uses it constantly. Who knew ? I'm just getting around to relying on my cell for time instead of wristwatch and now I find out everyone is back to their wrist and talking into it. Next will be molar speaker implants and direct to retinal nerve video. Gotta love it.
","Reviewed in the United States on January 23, 2022","She loves it",5,"","4","GPS + Cellular","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R1V4A2VITTLZX4","ML Images","
  First, I am a long time user of Mac products but this is my first Apple Watch so I cannot offer comparisons to previous versions. As I am both active and getting older, the emergency fall function seemed practical. It is but, in terms of health monitoring, it offers much more. From ECGs and other heart parameters  to sleep records, fitness records and more, it gives one a definitive record of activity/inactivity, momentum vs inertia. As the AW mirrors much of your iPhone, there is too much to describe.41 vs 45? That is a matter of personal choice. Readability is a frequent question. While I am male, 6 foot and 175lbs, I chose the 41 because it was available and I prefer a smaller piece on my wrist. The screen display is very customizable, it works for me (I attached a photo for reference). The standard sports band is fine but there are many alternatives available.The cellular function? It seemed essential in case I was out of range of my iPhone. After fielding many calls using the AW only, the quality is indistinguishable from my iPhone. Next step is figuring out wireless earbuds 😎. Not to mention little things like haptic alarms, subtle but effective. Battery life could be better but, with high use, it lasts a full day. I charge it when I awaken in the morning and haven’t dipped below 20%.Bottom line? I can’t believe I spent this much on this watch but I’m glad I did. Yes, there are alternative, less pricey choices, I looked at many. I am pleased with the AW7.
","Reviewed in the United States on February 8, 2022","So Much Info!",5,"https://m.media-amazon.com/images/I/71w+3NDW0tL.jpg",1,"GPS + Cellular","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R1FPH4ADDHRSPI","Suz","
  I have had my watch for a week now and can't really say anything bad about it. The battery life is excellent on it, it was very easy to pair with my phone (not sure why others were having such a time doing that). All the features work just as they would on your apple watch. The only thing I keep forgetting is the feature of the ear pods when I answer a call (everyone can hear your phone conversation if you answer with your watch with no pods in). I recommend you get another band if you have any allergies to silicone (that is the type of band that comes with the watch). The more things you add to the watch the more space and battery life that the watch will eat up. Enjoy it.
","Reviewed in the United States on March 4, 2022","Best you can buy",5,"",1,"GPS","45mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R2EMZTSTFDJTWI","RobDad","
  I have to admit: this watch has been encouraging me to exercise more and it is fun keeping track of my workouts and walks.  I like the ECG feature, though I have no reason to believe I have a heart problem.But one bummer:  I already have a scratch on the face of the watch.  One of the Apple Watch Series 7 selling points was a more scratch resistant screen.  It seems now like just a marketing ploy.  And I wish the battery was as strong as other smart watches... I find myself recharging before I go to bed so I can track my sleep and use the watch when I wake up and work out.Overall I'm satisfied with the watch, especially since it was on sale!
","Reviewed in the United States on March 4, 2022","Pretty Impressive, but scratches easily",4,"",1,"GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R1EEHFRIKJ2JU1","joyce","
  Love it!
","Reviewed in the United States on November 22, 2021","Beautiful",5,"https://m.media-amazon.com/images/I/71XDbXByLML.jpg","8","GPS + Cellular","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R37YN2HE25J8IE","Ms. Garza","
  I love love love my apple iwatch ❤️ This is my first iwatch. You gotta have it. I love how big it is and the battery life to charge your iwatch is a bit faster.  I love how this iwatch has everything I like. Message, phone calling, GPS, bank, heart rate, and everything else. Although it doesn’t include the USB C  wall charger, you only get the usb c cable charger. But the iwatch is brand new new! And it was worth it ❤️😊
","Reviewed in the United States on December 4, 2021","Amazing Apple Iwatch",5,"https://m.media-amazon.com/images/I/71-xKmXxyCL.jpg","6","GPS + Cellular","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R2JM3OQQ2Z36IQ","nancy mandell","
  The actual watch is good so far aside from not including a charger adapter and having a bit of a learning curve to set up and learn the features, but the pricing on Amazon keeps fluctuating and they will not guarantee the pricing. Even if it changes within a day or two (or sometimes within hours) they'd rather you return the product and likely they will lose money having you ship it back and then having to resell it as used and then have you re-order rather than just reimburse you a few bucks. Kind of takes the excitement out of it. I'll probably just keep mine to avoid the hassle, but beware if the pricing is important to you. Took an exciting experience and just made me sad I bought it.Watch came half charged and died by the time I went to bed, but will see how it goes fully charged.If this is your first Apple Watch you'll probably need to look up a few tutorials, it's somewhat intuitive, but not completely.Just wish I bought it elsewhere.
","Reviewed in the United States on January 15, 2022","Watch is fine, but the pricing is shady and no charger adapter is annoying",1,"",1,"GPS","41mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R1UBL7NFB38VYR","Corey Neysmth","
  Upgraded to the Series 7 after my son, broke my series 5 and MAN! this is thing is a beauty, this is my first time buying a Stainless Steel one and the GOLD really pops!! it really does look like a dime piece..more elegant
","Reviewed in the United States on November 18, 2021","100% Authentic - straight from Apple Store",5,"","11",,,
"R3CWNXGBYC0LKL","C. Church","
  I have had the other generation of apple watches, I only got this one because my gen 5 screen cracked all the heck now.I do not feel much difference in the 7 from my 5 beyond the larger screen.The 7 feels about the same weight isn't much different.
","Reviewed in the United States on January 1, 2022","Its newer but not better",5,"","7","GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"R1VY6VUIANZWGI","Meepsterx","
  I only use some of the features, but the ones I’ve grown used to are fantastic!  Being able to make quick replies to texts is wonderful, and the voice to text works well when I need to go into detail.Some things like the “how long you have been standing” are horribly inaccurate.  Other things like your heart rate are pretty spot on.  My buddy has one and it told him his heart was having issues, he went into the ER and found the watch was right (bad news for him, but at least it was discovered).Checking weather or other functions are convenient, but it’s really a matter of how much you want to load onto your watch.My only real complaint is that the bands are on the small side.  Mine is in the second to last spot, and in hot weather it will be on the last hole.  Apple might want to remember that more than women and children have interest in these.Lastly, this is not a watch I would trust for everyday general wear unless the hardest thing you do is sit at a desk.  Sports, outdoor chores and similar activities would probably kill this thing pretty quick.
","Reviewed in the United States on March 19, 2022","Lots of gadgets!",5,"",0,"GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R7KJGS2F4BGUL","Istvan","
  Totally worth it at the 380 discounted price. My last apple watch was a Series 0, -- the first one -- and now we have a bigger screen, great battery life and a bunch of new sensors (EKG, Oxigen, Heartbeat) that make it a non-brainer to buy.Don't get me wrong, I still sport an Omega Speedmaster or a Brietling for high-stakes meetings, however I use the apple watch as my daily driver for everything else.
","Reviewed in the United States on December 28, 2021","So happy to have caught this on sale",5,"","4","GPS","45mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R34D7VMVGNFB7P","SunnyCA ","
  I'm no tech nerd, but it literally took me 10 mins to set up. I already have a USB C plug, if you have the latest iPhone or iPad, then you should already have this. If you have the latest phone, then it should already be updated, but if you don't, make sure to update your phone before you get the watch. I had the series 3 which I dropped and cracked after 5 reliable years unfortunately, it will cost me almost as much to fix so I decided to get a new one. Other than a longer battery life and comes on without having to touch it, I don't see much difference in the series 7.
","Reviewed in the United States on March 18, 2022","Works great!",5,"",1,"GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R1Q85MRWZTHQFH","Kindle Customer","
  The best thing about this is the ECG & oxygen saturation which is temperamental and only works some of the time fyi. It’s a lot of money for the convenience of having your phone on your wrist which is pretty much what it is. Friends have the cellular version (mine is only gps) and they think it’s “life changing”. I can still talk on mine as long as my phone is around (across the room & upstairs it still works.) I haven’t been able to figure out the sleep tracking. Upgraded from Fitbit and gotta say their sleep tracking is superior in ease of use and results & only cost $69.( That also had heart rate tracking. ) if you work where you can’t use a phone I can see the work around of still having your phone but not. It’s a lot of money to skirt around the No phone rule. Maybe I’m just old school & am used to not looking at my phone every second of every day. My review is “meh”. I won’t return it but I can see living with out it. Maybe that will change with time.
","Reviewed in the United States on February 7, 2022","Redundant with iPhone",3,"",0,"GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"RHI47U3G1GY92","ljwojo","
  I keep the face off unless I look at it. Seems to help a lot with battery. Also, make sure your watch straps are not on backwards! Lol! I did this for like a day and thought it was the worst design ever. Turns out it was just my fault.
","Reviewed in the United States on January 15, 2022","Love it!",5,"","4","GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R1LTF3AWWIJR00","mudkipfluffy","
  As a long-time Apple Watch user, I initially thought that the Series 7 was not worth upgrading to. After all, my trusty Series 4 had many of the same features (delivering notifications silently on my wrist, sleep tracking, heart rate monitoring, and an EKG party-trick ability that I rarely use but is cool to have I guess) and was more than adequate enough for my use case. However, my Series 4's battery life was waning, and I was itching to move on from a rose gold watch, so when I saw that the price of this particular Series 7 variation dropped to $379, I knew I could afford to pull the trigger. Compared to my Series 4, this watch has many iterative improvements, including an always-on display, slightly larger screen, and a blood oxygen sensor, that when taken as a whole, make me a happy customer. The midnight color is definitely better-looking in person as well! If you're an existing Apple Watch user and have an older model, then this is an upgrade worth considering. If you're looking to get into the smartwatch world and have an iPhone, then this could be a good starter smartwatch for you.
","Reviewed in the United States on January 29, 2022","Great Apple Watch to upgrade to",5,"",1,"GPS","45mm","Midnight Aluminum Case with Midnight Sport Band"
"RRB2V1DFUETSR","John Giles","
  The watch comes with two bands one is too small the other is too big… I lost my watch the first time I wore it.  Not happy
","Reviewed in the United States on December 1, 2021","The watch feel off my wrist and I lost it the first time I used it",1,"","6","GPS","41mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R3R4ZLCY3LJVGP","Chuck","
  The Apple Watch itself is great and as advertised. But I would order from another site. I tried using Amazon's 12 month equal pay option, but they ended up still charging the full amount without notifying me of any changes. Despite using an Amazon card, it took 2 emails, 10 minutes of online chat, and then 20 minutes on the phone to get the billing rectified. Customers shouldn't have to spend an hour of their time to resolve a billing issue on the seller's side, much less when it's the seller's credit card being used. Not the best look for such an established company. The month delay in shipping due to the supply chain issues is understandable, the effort on resolving issues that are in Amazon's control, is not.
","Reviewed in the United States on December 2, 2021","Great product - suggest buying elsewhere to avoid issues",3,"","6","GPS","41mm","Midnight Aluminum Case with Midnight Sport Band"
"R1TZDAHFQJ5ALN","jomama","
  I absolutely hated that this did not come with a charger. Now I am stuck home with Covid for Christmas and I have a useless Apple Watch that I cannot charge. To add insult to injury the correctApple chargers Cost a minimum of $30 and are not available on Amazon for over two weeks. So now I have a Watch that I cannot use and I cannot go out and get a charger. Apple sucks to package their watch in an unusable state. At the very least a small adapter should come in the original package. Gave battery life accuracy and mobile app all bad reviews because they cannot be used without a charge.
","Reviewed in the United States on December 26, 2021","Does not come with power adapter for charger.",1,"",1,"GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R2SI73X35TE6CH","José Caballero","
  There's no secret, as new smartwatches keep joining the battle, it's still Apple who keeps winning the race. Workout tracking, steps, heart rate, ECG, blood oxigen, unlocking your iPhone and Mac without Face ID or passcode, Apple Pay, notifications for all apps on your wrist, etc. It's a very cool gadget to have, very useful and very functional.To me, the only down side is still the battery. There are other smartwatches that beat the Apple Watch big time on battery, so it makes you wonder what does Apple need to create a watch with a battery that lasts as least a couple of days.Aside from the battery, which to me only represents the hastle of putting the watch on the charger for about an hour (The charging is super fast now), there's nothing else to complain about. I picked the aluminum red one with the standard silicone band and I absolutely love it.
","Reviewed in the United States on March 8, 2022","The best smartwatch out there",5,"",0,"GPS","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R1WH3M77MOM37C","Football Nani","
  I love everything about this watch! It charges quickly and the battery life is good. Like other rechargeable devices the more you do with it the faster it goes down. Since it charges so quickly that’s no big deal. I didn’t like the band because it’s too sweaty in in the summer. I think I should have gotten the one with cellular because this one has to be near my phone to do some things. Another piece of advice I have for others is to get an adapter when you get your watch so you can charge it. I couldn’t set mine up until the adapter came.
","Reviewed in the United States on January 18, 2022","Best watch ever",5,"","2","GPS","45mm","(PRODUCT)RED Aluminum Case w (PRODUCT)RED Band"
"R5Q0W237LSYNP","marc","
  After my wife’s Apple series 3 watch started to show its age (no more updates and occasional crashes) I decided she needed a Hanukkah present before we left for a European vacation.She was delighted.  The usable screen is bigger than my 44mm Apple Watch,  the display never goes dark, yet the battery life is better.As we get older the health options of the new watch are a welcome addition.
","Reviewed in the United States on December 14, 2021","What’s not to like",5,"","2","GPS","41mm","Starlight Aluminum Case with Starlight Sport Band"
"R3YM828L3X2QN","dmoskaly","
  I had an SE which was just fine, didn’t need  the extra sensors. But, and here’s the big but as in bigger and brighter display. I use my watch often during exercise and its nice to take a quick look at my metrics without effort not to mention just regular use. Four stars because even though it was at a sale price, it’s still in my opinion over priced by $50-$75.
","Reviewed in the United States on December 6, 2021","Bigger is Better in this case",4,"","4","GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"RRF5LMVMEV8DS","Leesa","
  So, the battery lasts about a day, but I take mine off at night and charge it. It definitely lasts a full day though. I really enjoy being able to see my updates and texts without having to take my phone out of my pocket, which is very helpful with the group family texts :) It also helps save time when the phone rings as you can see who is calling, again without taking the phone out of the pocket.  I'm still learning how to utilize it to its fullest extent, but I do really like it and I'm so very happy that I splurged for it for myself.
","Reviewed in the United States on January 6, 2022","Really happy I bought this!",5,"",1,"GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"RNPFIQBWGTFQ7","jjflash15","
  I have loved my Apple Watch 3 for the past 3 years but love my new 7 even more. More screen area makes my pictures on the watch face bigger and clearer.  Choosing numbers and Apps is much easier with this size advantage. As someone conscious of COVID hazards, I find having the oximeter App built in has me checking my blood O2 every day vs a few times a week. I also like the built in EKG. Notifications now come up with pictures and are easier to read as well. Overall, I am thoroughly pleased with the new watch.
","Reviewed in the United States on February 12, 2022","My Christmas Present to Me",5,"",1,"GPS","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
"R3UGSNTV4XAWG0","R. A. Johnson","
  Sleeker, better connected, more efficiently charged, faster, more intuitively organized and managed than ever before. The single greatest advance among my repertoire of uses is its connectivity with messaging—I just don't miss messages anymore; of course, I can put them off or ignore them whenever that's best but even that is more easily handled. And next is the music I can now store on it, which is easily accomplished and saves me taking my phone to the gym where I was forever misplacing it. And next is the improvement in ease and accuracy of the ECG recording of heart rhythm; I'm nearly 80, so knowing I am or am not in atrial fibrillation is important to me on occasion, which does not come up for me everyday, but when it does I want the watch to work, to do its thing; and now it does. I am grateful. I could go on (and on), but I won't. If you have need, and means, buy it.
","Reviewed in the United States on January 27, 2022","Not only a digital device, perhaps THE device, full stop, of your lifetime.",5,"",0,"GPS + Cellular","41mm","Blue Aluminum Case with Abyss Blue Sport Band"
